7 Ways to Improve Your Nutrition When You're Expecting,http://www.whattoexpect.com/pregnancy/eating-well/ways-improve-nutrition-when-youre-expecting/,"No two diets are alike, but dont let that get in the way of  healthy nutrition while youre expecting . After all, eating well is one of the best ways to give your baby a head start in life  and it can make your pregnancy go more smoothly, too. Want to know how to consume whats best whether you chow down on the go, know you could make some tweaks to your food habits or pride yourself on the choices you already make? Answer the following questions and get the tasty  and simple  tips that can make a huge difference. What do you eat before you head out in the morning? A cereal bar or yogurt as I bolt out the door.  The good news about those on-the-go options is that they provide fiber and calcium. The not-so-great news: They also typically contain a lot of sugar (and calories). Two healthier solutions that are just as easy to grab: Fill snack bags with bite-sized, unsweetened whole-grain cereal and keep mini containers of low-fat or nonfat Greek yogurt in the fridge. Full of protein, vitamin D, iron and choline, hard-boiled eggs are another great grab-and-go breakfast. A bagel calms my queasy stomach.  Morning sickness can make the morning rush even harder to handle, so it's smart to put something in your belly to ease the quease. But you'll have more energy and give your baby more nutrients if you make that bagel whole wheat or toast up a fiber-rich whole-grain English muffin. Add a dose of protein by spreading it with almond butter. This complex-carb-and-protein combo might do a better job on your queasiness, plus you'll feel fuller longer. A bowl of oatmeal or cereal with fruit, sometimes a scrambled egg.  Kudos for managing to make morning meals a priority  and working in so many good-for-baby food groups. To make the most of your already healthy breakfast, always choose whole-grain cereal, low-fat or nonfat Greek yogurt (it has more protein than regular yogurt), and oatmeal without added sugar. And make sure the eggs are fully cooked now that you're pregnant. What's your a.m. beverage of choice? No doubt about it: coffee.  It's fine to down a cup of joe to start your engine, but do stick to the expert-sanctioned rule of no more than 200 mg (or two cups) of  caffeine  a day. Need more energy? Pair your morning mug with a complex-carb-and-protein combo like whole-wheat toast and cheese. A glass of OJ gives me an energy boost.  OJ contains energy-boosting electrolytes and vitamin C, which helps shore up your immune system and aid iron absorption. Just remember there's a lot of natural sugar in orange juice, so consider swapping it for a whole fiber-rich orange some days. Or add some lower-sugar juices into your daily mix, like a combo of lemon, lime and grapefruit. I go for a tall glass of skim milk.  You're smart to start the day with a glass of milk since you need four servings of dairy daily to build your baby's bones  and protect yours. For a weekend treat, try a fruit smoothie made with skim milk or low-fat yogurt  you'll get your calcium plus fiber and phytonutrients. What do you do when lunchtime rolls around? I make a beeline for the drive-through  its quick!  Fast food is definitely convenient when you're on the run, but most fast-food options just aren't good for you or your baby  too much fat, salt, sugar and calories. Try to limit drive-through days, and when you do go, consider healthier picks like a grilled chicken sandwich or salad (with dressing on the side). One way to cut back on your fast-food habit: Prep tomorrow's lunch the night before, so brown-bagging becomes less of a chore. I zap a frozen meal and eat it at my desk. Frozen meals have come a long way but can still be loaded with fat and salt (and be short on fiber), so read those labels and choose carefully. Try creating your own (much healthier) freezer meals by combining frozen vegetables and pre-cooked shrimp or chicken breast (all available in grocery stores) and making a double-portion stir-fry  one serving for tonight's dinner, the other for tomorrow's lunch. I dig into a homemade sandwich. Bravo for choosing a hearty roll rather than rolling on up to the drive-through. But that sandwich is only as good as its buns and what's between 'em. Always choose whole-grain bread for an extra dose of B vitamins (good for building your baby's nervous system). Take a pass on super-salty cold cuts and high-fat mayo, both of which carry the risk of food-borne illness if the sandwich sits out for a while. Some safer yet still savory options: sliced (homemade or low-sodium) turkey or chicken breast with mustard or hummus or grilled veggies layered with reduced-fat mozzarella. What are you nibbling during your 4:00 slump? Chips or cookies  theyre what I crave and Im allowed some extra calories now.  Yes, you need an extra 300 calories each day to feed your growing baby, but swap that junk for something more nutritious. Try satisfying your afternoon snack attack with a container of fat-free chocolate pudding (and get a little calcium while you do). If salt's what you crave, go for air-popped popcorn sprinkled with Parmesan cheese. Im happy with my three-square meals.  Three squares are fine if your energy's not flagging, but you might need a little more steam to power through your day right now. One strategy: Try switching to five or six mini-meals, including a few carb-protein combos like trail mix with nuts or a mini-container of cottage cheese with a spoonful of granola. Smaller, more frequent meals may also help with heartburn. When Im hungry, I reach for fruit, carrot sticks or a granola bar.  Those carrots are full of vitamin A  good for building your baby's eyesight and bones. And fruit is a great source for vitamin C, which helps your body absorb iron  you'll need a lot to generate the blood cells to grow a baby. Maybe toss some dried fruit or soy chips into the mix, both good sources of fiber and iron  and make sure those granola bars aren't loaded with sugar (most are). When you make dinner, which style best describes you? Im the takeout queen.  Too busy to cook most nights? That's okay, but remember: Takeout meals can be high in calories and fat and low on nutrition. A better plan: When you've got some time, cook up a big batch of turkey chili, chicken soup or other easy-to-freeze meals so you control the ingredients. And when you do order in, try to go for lean protein, a solid serving of veggies or salad, and some whole grains, like brown rice. Im a comfort-food cook.  Pregnancy symptoms like nausea and heartburn might make you yearn for comfort food, but those are typically heavy on fat and calories. Look for ways to make your favorite recipes skinnier and more nutritious  try skim milk instead of whole in your mac 'n' cheese and toss in some cauliflower or peas. Use low-fat cheddar in your tuna casserole, and opt for ground turkey instead of beef meatballs when you're in the mood for marinara. Craving something mashed? Swap sweet potatoes for white and skip the butter  add a little orange juice and cinnamon and you're set. Im a health-food lover.  Since you're already a healthy eater, no need to reinvent the dinnertime wheel. Just up your intake of nutrients that are good for your baby, like omega-3 fats found in salmon, sardines and walnuts. More ways to boost your omega-3 intake at any meal: Use extra-virgin olive oil on your sauts and salads, sprinkle flaxseed on your oatmeal and opt for omega-3-enriched eggs. What's your evening snack of choice? I love a bowl of ice cream or cookie.  Treats are fine (and ice cream does have calcium), but a nightly dose of sweets is a surefire way to gain more weight than you should. Instead of that cookie, pop a square of dark chocolate, which contains natural stress-busters to help balance pregnancy-induced mood swings. Another cool snack that'll satisfy a sweet tooth: frozen red grapes  they taste just like candy. I relax with a cup of tea.  The benefits of tea are well known, but when you're expecting, you need to be wary of what's in your cup. Black, green, white and oolong teas all contain anywhere from 26 to 48 mgs of caffeine per eight-ounce cup. As for herbal teas, check in with your ob-gyn or midwife to learn  which are safe . Or steep a little fresh ginger (a tried-and-true morning-sickness soother) and a couple of cloves in a steaming mug of water, then strain them out and sip away. Just a glass of water.  That glass of water is a smart move since you need to up your fluid intake during pregnancy. Drinking water regularly helps relieve symptoms of morning sickness and heartburn as well as constipation. If the need to pee is interfering with your nightly z's, try drinking more during the day and less in the evening. Want to add a hint of flavor and extra nutrients to your H20? Freeze berries in your ice cubes. What foods never make it onto your plate? Fish  ugh!  Lots of people don't dig fish, but seafood can be a great source of protein and iron, important nutrients for your growing bundle. Plus, the omega-3 fatty acids in salmon and halibut can promote your baby's brain development. But some types of seafood (shark, swordfish, king mackerel and tilefish) may contain high levels of mercury and  should be avoided , especially by expectant moms. The bottom (fishing) line: Try to get fish on your menu at least a couple of times a month  even canned (or pouched) light tuna counts. Vegetables  meat and pasta are what I crave.  While meat and grains can raise your stores of zinc, iron and folate, both you and your baby will miss out on a bevy of vitamins if you always skip the veggies. You really should eat three to four servings daily (beans count), so try to find ways to up your intake. Toss a salad with chopped carrots, black beans, spinach and roasted red peppers. Use whole grains like couscous and quinoa as a nutrient-rich base for any vegetables you like, whether raw, steamed, sauted or roasted. Meat  Im a vegan. You don't have to be a meat eater  to be a healthy mother-to-be, but you do need to make sure you're getting those extra calories, protein, vitamins and minerals from other food sources like nuts, beans and soy products. (Greens, potatoes, pasta and corn are also protein providers.) Meat-free sources of iron include whole grains, dried beans, dark-green leafy vegetables and dried fruits. Be sure to include foods rich in vitamin C in your diet every day, which will help your body absorb iron. RELATED STORIES ADD THIS TO YOUR PINTEREST BOARD Infographic: Pregnancy Nutrition 101 KEEP TRACK OF YOUR NUTRITION Pregnancy Nutrition Checklist HAVE A SUDDEN YEN FOR YAMS? Food Cravings During Pregnancy"
Infographic: Pregnancy Nutrition 101,http://www.whattoexpect.com/tools/photolist/pregnancy-nutrition-infographic/#1,
Nutrition,,
Nutrition,,
Nutrition,,
Nutrition,,
Nutrition,,
High Cholesterol Nutrition,,
HIV and Your Diet: How to Get the Nutrition You Need,,
Quinoa Is a Nutrition Powerhouse,,
